Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-09-26T04:43:21.953Z","Included","auto","No","6335","0","1157888","2021","1166244","0.31"
"2025-09-26T04:43:03.814Z","Errored, Not Charged","auto","No","2302","0","372480","706","375488","0.10"
"2025-09-26T04:42:29.410Z","Errored, Not Charged","auto","No","14374","0","805888","1006","821268","0.23"
"2025-09-26T04:40:49.802Z","Included","auto","No","8164","0","1120512","2374","1131050","0.30"
"2025-09-26T04:40:39.617Z","Errored, Not Charged","auto","No","2545","0","79872","550","82967","0.03"
"2025-09-26T04:40:06.835Z","Errored, Not Charged","auto","No","3863","0","235008","2219","241090","0.08"
"2025-09-26T04:39:23.471Z","Errored, Not Charged","auto","No","9539","0","521728","2992","534259","0.16"
"2025-09-26T04:37:27.145Z","Included","auto","No","7825","0","854528","3735","866088","0.25"
"2025-09-26T04:37:15.597Z","Errored, Not Charged","auto","No","60837","0","72704","181","133722","0.10"
"2025-09-26T04:34:47.994Z","Included","auto","No","176483","82229","5165312","26122","5450146","1.77"
"2025-09-26T04:33:06.824Z","Errored, Not Charged","auto","No","1049","0","173312","180","174541","0.05"
"2025-09-26T04:32:55.616Z","Errored, Not Charged","auto","No","997","0","171520","379","172896","0.05"
"2025-09-26T04:32:45.375Z","Errored, Not Charged","auto","No","78726","0","6912","50","85688","0.10"
"2025-09-26T04:31:12.573Z","Included","auto","No","170937","0","3414016","6904","3591857","1.11"
"2025-09-26T04:30:01.185Z","Included","auto","No","113277","0","2917860","5587","3036724","0.90"
"2025-09-26T04:27:27.594Z","Included","auto","No","153460","73086","489074","7056","722676","0.45"
"2025-09-26T04:22:36.911Z","Included","auto","No","2535","0","217217","2345","222097","0.07"
"2025-09-26T04:21:33.927Z","Included","auto","No","77451","85443","1031424","17240","1211558","0.56"
"2025-09-26T04:21:21.100Z","Errored, Not Charged","auto","No","3647","0","197120","796","201563","0.06"
"2025-09-26T04:20:35.131Z","Included","auto","No","2475","0","487680","1474","491629","0.13"
"2025-09-26T04:20:22.451Z","Errored, Not Charged","auto","No","90563","0","198912","160","289635","0.16"
"2025-09-26T04:19:10.561Z","Included","auto","No","14366","0","416744","671","431781","0.13"
"2025-09-26T04:17:36.790Z","Errored, Not Charged","auto","No","12565","0","989210","1170","1002945","0.27"
"2025-09-26T04:17:03.694Z","Errored, Not Charged","auto","No","3051","0","742080","609","745740","0.19"
"2025-09-26T04:16:35.286Z","Included","auto","No","8876","0","172560","357","181793","0.06"
"2025-09-26T04:16:15.265Z","Included","auto","No","74930","0","7129","468","82527","0.10"
"2025-09-26T04:15:25.020Z","Included","auto","No","3197","0","321024","1518","325739","0.09"
"2025-09-26T04:13:53.804Z","Included","auto","No","19072","0","1999872","6961","2025905","0.57"
"2025-09-26T04:12:46.946Z","Included","auto","No","6372","0","231936","4527","242835","0.09"
"2025-09-26T04:11:58.725Z","Errored, Not Charged","auto","No","33205","0","557312","5954","596471","0.22"
"2025-09-26T04:02:24.714Z","Included","auto","No","12421","0","465664","3683","481768","0.15"
"2025-09-26T03:57:06.543Z","Errored, Not Charged","auto","No","39479","0","982016","10461","1031956","0.36"
"2025-09-26T03:54:31.859Z","Included","auto","No","18695","0","198656","787","218138","0.08"
"2025-09-26T03:53:41.603Z","Included","auto","No","24041","0","291072","4012","319125","0.13"
"2025-09-26T03:53:04.634Z","Included","auto","No","37085","0","291177","1927","330189","0.13"
"2025-09-26T03:51:48.986Z","Included","auto","No","50542","6842","2368000","36678","2462062","0.88"
"2025-09-26T03:49:55.042Z","Included","auto","No","20337","0","140288","774","161399","0.07"
"2025-09-26T03:46:41.939Z","Errored, Not Charged","auto","No","214752","153451","451971","45754","865928","0.85"
"2025-09-26T03:45:19.919Z","Included","auto","No","25204","0","1108480","1994","1135678","0.32"
"2025-09-26T03:45:07.708Z","Included","auto","No","1398","0","334592","390","336380","0.09"
"2025-09-26T03:43:24.103Z","Included","auto","No","596","0","84736","90","85422","0.02"
"2025-09-26T03:42:08.899Z","Included","auto","No","27702","0","676608","1643","705953","0.21"
"2025-09-26T03:41:48.076Z","Included","auto","No","49379","0","67584","157","117120","0.08"
"2025-09-26T03:41:22.128Z","Included","auto","No","1977","0","163840","340","166157","0.05"
"2025-09-26T03:40:05.817Z","Included","auto","No","1324","0","160768","981","163073","0.05"
"2025-09-26T03:39:41.140Z","Errored, Not Charged","auto","No","3407","2056","234240","1020","240723","0.07"
"2025-09-26T03:38:03.038Z","Included","auto","No","283869","76776","2996149","21560","3378354","1.33"
"2025-09-26T03:36:25.440Z","Included","auto","No","12501","0","1162496","3170","1178167","0.33"
